review,sentiment
"i stopped this movie at 48 minutes and change... i don't know...maybe it's because i'm not Swedish...or french(the cannes commenter)...or any of those OTHER sleepy places from which the previous reviewers held forth... born and raised in NY. lived near san francisco for a quarter of a century. and now Holland. i love a good independent film as much as the next movie enthusiast... but this, in a word, isn't funny. see? now THAT's funny...that you're thinking that i made a mistake. i said, 'in a word' but then said, 'isn't funny'... nope. no mistake. if this is your type of humor, i'd say you haven't really had much of a life... consider your appreciation of this film a symptom... and PLEASE don't EVER write another review...i have a tendency to believe them when they're unanimous. even if there only were about 3 reviews before mine...i figured i might ACtually be able to save someone ELSE the boredom...the anticipation of laughter that never materializes... i DID smile once or twice, though... when i started the movie...and when i stopped it. that should be 10 lines.",negative
"First and foremost this movie has the stupidest plot of any movie I have ever seen, and unfortunately I had to see this one. I was flipping through channels one day and stumbled upon this lousy excuse for a movie, and it confirmed what I have been saying for a long time. Carrot Top is not an actor, and IS NOT funny in the slightest sense. He acts like he's a great comedian and thinks he commands the audiences attention. Frankly he has the acting ability of a 10 year old class clown, scratch that less than a 10 year old's ability to compare them to Carrot Top would be a grave insult upon their good name. This movie tries to be funny using dull one liners which all seem to have been lifted from 50's cartoons. By the end I would have done anything to erase my memory of this movie, but sadly the memories stay with me. The only thing I can do is to warn others to never to watch this movie. However it proves the rumors true Carrot Top can't act worth a damn.",negative
"Quentin Tarantino's partner in crime Roger Avary (co-writer on ""Pulp Fiction"") ventures out on his own (Q.T. goes exec. prod. this time) for this over-boiled French thriller.<br /><br />Eric Stoltz is Zed, safe cracker extraordinaire who has drifted over to France from the U.S. at the request of an old friend. There he teams up with a motley crew of drugged out hippies who, with little or no planning, think they can knock off a bank vault full of gold bullion on a French national holiday.<br /><br />Avary has reworked the robbery gone wrong theme that Tarantino developed so well in ""Reservoir Dogs"", only ""Killing Zoe"" is not good enough to survive on the strength of this alone, so Avary has thrown in a rather beautiful distraction. Julie Delpy is Zoe, a student come call girl who entertains Zed on his arrival in Paris. A stunning distraction she certainly is, but nothing more.<br /><br />I guess our director wanted to add a different angle to this basic theme, but sadly the move did not help to add the depth his shallow plot so desperately needed. There was never a story in this idea, which was nothing more than that, an idea. Even the surreal journey into the seedy dives of Paris is uninspiring. I figure one would have to concede that there was never much of a movie in the story of a bunch of gangsters shooting each other up over a botched jewellery heist either, that is until you add intricate characters and snappy dialogue. ""Reservoir Dogs"" had it, ""Killing Zoe"" did not.<br /><br />Stoltz's strong interpretation of the doubtful Zed and Jean Hughes-Anglade's mad portrayal of the obsessive ring leader do nothing to lift proceedings. In short, Avary has unsuccessfully attempted to conjure entertainment out of nothing.<br /><br />Friday, September 15, 1995 - Astor Theatre",negative
"Here is another great film critics will love. The problem is that it is not a very good movie.<br /><br />The films premise is simple. Nine convicts escape a prison after the tenth one goes crazy and tells them where the treasure is.<br /><br />The first half has a lot of slapstick some of it very broad while the second half is a character driven descent into fantasy and melancholy.<br /><br />The two halves simply don't mix. Individual scenes do work very well (The guys crashing a friends house who has a new Filipino bride is hilarious While a later scene with the big guy working in the restaurant tugs at the heartstrings.) They simply don't mesh with each other.<br /><br />The movie as well is missing entire set-ups. One scene shows the guys desperately looking for change under a deserted vending machine to buy a snack. The very next scene has the whole crew in drag sitting down in a restaurant. Where did they get the dresses and wigs? (The crew includes both the big guy and a midget) How did they get all the clothes and money to buy the meal? And most puzzling is why are they in drag? They are clearly guys in drag and lets face it is there anything more memorable to witnesses than a big guy and a dwarf eating a meal dressed as women? I mention the big guy and the dwarf because besides the old guy everyone else seems to blend into each other. (In fact they wear matching white jumpsuits throughout most of the movie) The movie has very little character development in the first half and as a result the second half really lacks an emotional punch. As we are often trying to figure out who is who in their individual payoff scenes.<br /><br />Speaking of a drag the second half has all those wonderful sweeping camera shots and big emotional moments and great symbolism that makes a great film. It is also excruciatingly slow which makes for a boring movie.<br /><br />9 Souls is a big disappointment, the reviews gush about a great film and it's in there somewhere, good luck finding it yourself.",negative
"Still haven't read a single Dan Brown book, but I watched all his movies adaptations. I won't fall into the game to rate this one with the previous because the scope isn't really the same: actually, this one is a thriller, a race against time filled with puzzles.<br /><br />The plot is very twisted, imaginative and the cast is excellent: I never been a great fan of Hanks but he delivers well. I noticed his jeans shirt (the one spilled with blood) because I search for one like this in vain! The Italian searcher is a brilliant newcomer for me but I really applauded Ewan MacGregor portrayal: his inner faith and calm is really impressive.<br /><br />I really like the debate between science and religion. The action taking place in the Vatican, it felt like vacation. At last, I am not sure it helps to add new converts into Christianism. With all the gold and man presence displayed, any one would ask what charity means and why women are so dismissed of the church life whereas they stand for half or more the believers.",positive
"I was a little to old for this show I was 6 when it first came out. First off when I was a young child there were a few children's shows that were on sesame street which I did watch and learned from, but other than that there wasn't much else. My Cousins were all born a few years after me 7 years was the first one more came latter. Barney was a very big part of what they watched. When I first saw this show I told my grandmother how it doesn't teach anything just uses magic to fix everything. I was 9 at the time, how many 9 years old have any idea what is really going on with a TV show. More and more that I saw or heard what the teachings of Barney were the more and more I told people how bad the show was. The funny thing is my parents who had a young child in the mid to late 80's which was me by the way. They agreed and said the same thing as I did. The sad thing about this is my cousins who are older now 13 and such still agree with what they saw. Its not cheating its creative, its not right to think differently than what someone tells you to. Its o.k to steal if the person wont find out or mind that it is gone. Lets be honest with ourselves, Barney is out to make money not teach children anything. The more flashy the program the more inclined children will be to watching it. Children are stupid not because they are not educated they just do not know any better, second Barney put on a show and parents bought it. I never believed that TV could affect people the way Barney does. If you have a young child read to them watch a show that teaches them numbers, do not let them get involved in this show. Barney is like smoking once is to much, smoke a few and your hooked let your kid watch this show they are hooked and one day their kids will watch the same crap and buy the same crap you bought",negative
"These writers are trying to re-create the characters they have on ""scrubs"" in a different occupation however the characters they are stuck with have no charisma or acting ability not to mention the writing seems poor and effortless. These guys are trying to create something that would be good if the writing wasn't so disgusting which is leaving the shows only lifeline to be two attractive teachers that that are barely keeping it alive. The humor in this show seems like it is trying to target an audience with an I.Q. of 40 or below. Another reason why this show is becoming a failure could be that the writing on the show ""scrubs"" is excellent and this show has to follow it up leaving the viewer in an odd position not knowing whether to cry or to just lose hope in new sitcoms all together. This is just my opinion but i think these guys should stop now before they humiliate themselves anymore than they have already.",negative
"I must admit that this is one of the few Lou Costello films that I actually saw in the theater. Most have now been seen on T.V. and I must admit that Lou is really enjoyable and he gets the girl,too. This was my first time seeing Dorothy Provine perform and of course I fell in love with her like so many others that day. I have seen most of the work she has done and enjoyed each one. Her performance in The Great Race is one of the reasons I bought the disc in the first place!<br /><br />Every comment on this movie tells that this is the one movie that Lou Costello did with out Bud Abbott,which is true,but if Lou had lived he would have made many more. He really does a good job and doesn't have to rely on his old routines to get laughs. I for one am sorry that the little man from Patterson,N.J. didn't get the chance to do that.<br /><br />I hope this comes out on DVD some time so I can add it to my comedy/sci fi collection.",positive
"This working girls go to hell soap is a time capsule candidate, courtesy of its immaculate physical production, 50s costuming (look at all those bows and pearls), creamy Johnny Mathis theme song and oh-so daring (for its time) sexual attitudes. Rona Jaffe's novel, on which the film was based, keeps on being republished, and just a few years ago Vanity Fair actually devoted an article to this delectable bon bon of a movie. Take a look at the new DVD transfer and you'll know why.<br /><br />The three leads - Hope Lange, Diane Baker and Suzy Parker - echo the girls from ""How to Marry A Millonaire"" or Carrie Bradshaw and her friends from ""Sex and the City."" ""Gentlewomen songsters off on a spree..."" Their romantic adventures and sexual entanglements are the stuff of paperback passion: empty caramel corn calories, devoid of nutrition, impossible to resist snacking on. Lange is genuinely touching in her neo-Grace Kelly way, Baker is properly dim and idealistic as a timid virgin who gets (gasp) knocked up by a (hiss) cad. It helps that the cad is played by Robert Evans, the throaty voiced, coke snorting film mogul who surely has lead many an innocent young lamb to the slaughter in his Beverly Hills bedroom.<br /><br />Suzy Parker is fascinating in the first half of the film, all blithe self assurance and knowing remarks. She struts her stuff with the panache of the fashion icon she was in the 50s. Alas, she's not up to where the film sends her: into madness and obsession. But she exudes glamour and savior faire and her acting is at least adequate. One wonders why the critics loathed her, virtually driving her out of movies a few years later. Perhaps an aloof attitude on the part of a good looking woman is just too much to bear. It sank Ali McGraw's career a generation later, and, when you think of it, Ali McGraw and Suzy Parker were basically the same actress.<br /><br />The film's only major flaw is a weak ending. It pretty much collapses into a romantic swoon at the end, rather than rising to a wham bang melodramatic finish, like the other famous soap opera from producer Jerry Wald, ""Peyton Place,"" which had Lana Turner weeping and gnashing her teeth during a rape trial. Here, Hope Lange wanders out onto the New York sidewalk, spots burly, eternally hung over (but now, of course, sober) Stephen Boyd and they simply walk off together...into the sunset, one presumes. Otherwise, this is pretty much the definition of a guilty pleasure.<br /><br />Oh Yes...there's also Joan Crawford, breathing fire at all the young girls and smoking cigarettes while she hisses to her married lover over the phone. And the titles are done in hot pink, with ribbon lettering that recalls the department store ads of the late 50s. Don't miss!",positive
"I rented this film on Netflix after it won all the Oscars, to see if it was really that good.<br /><br />The Hurt Locker is a very realistic portrayal (for the most part) of a group of soldier's rotation in Iraq. The film centers around Will James, a reckless soldier who gets his adrenaline fix from taking risks, and defusing bombs.<br /><br />Where this film seems to lack in my opinion is the Plot and Direction of the movie. This film has no clear plot unlike other films such as Black Hawk Down. What this film tries to do is focus more on the characters, and their different attitudes about the war. Bigelow does an okay job of focusing on the characters, but there are many points in the film where the dialogue seems to drag. Hurt Locker is 131 minutes long, yet it feels like a 3 hour movie.<br /><br />One scene in the movie that was particularly awful, and ruined the films perfect credibility, was the sniping scene halfway through the movie. It was both unrealistic, and very long.<br /><br />Overall, I thought this film was OKAY, but the reason I gave it a 6 instead of a 7, was because it was a major letdown for winning Best Picture at the Oscars. I felt like this film could have been so much better considering Saving Private Ryan lost Best Picture, but was much better than this film. Another notable mention is Black Hawk Down which only won 2 Oscars. I honestly do not know how this won best picture.<br /><br />If you are looking for an action packed war flick, rent Black Hawk Down. This film will be forgotten in a year or two.",negative
